country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Australia,AUS,21/02/2021,20,20,,,,0,0,,
Australia,AUS,22/02/2021,2789,2789,,2769,2769,0.01,0.01,,107
Australia,AUS,23/02/2021,6914,6911,3,4125,3447,0.03,0.03,0,134
Australia,AUS,24/02/2021,16629,16626,3,9715,5536,0.06,0.06,0,215
Australia,AUS,25/02/2021,23510,23501,9,6881,5872,0.09,0.09,0,228
Australia,AUS,26/02/2021,30000,29989,11,6490,5996,0.12,0.12,0,233
Australia,AUS,27/02/2021,31894,31882,12,1894,5312,0.12,0.12,0,206
Australia,AUS,28/02/2021,34630,34618,12,2736,4944,0.13,0.13,0,192
Australia,AUS,1/03/2021,41907,41895,12,7277,5588,0.16,0.16,0,217
Australia,AUS,2/03/2021,51070,51058,12,9163,6308,0.2,0.2,0,245
Australia,AUS,3/03/2021,61009,60994,15,9939,6340,0.24,0.24,0,246
Australia,AUS,4/03/2021,71867,71848,19,10858,6908,0.28,0.28,0,268
Australia,AUS,5/03/2021,76940,76916,24,5073,6706,0.3,0.3,0,260
Australia,AUS,6/03/2021,81345,81321,24,4405,7064,0.32,0.32,0,274
Australia,AUS,7/03/2021,86369,86345,24,5024,7391,0.33,0.33,0,287
Australia,AUS,8/03/2021,94908,94884,24,8539,7572,0.37,0.37,0,294
Australia,AUS,9/03/2021,108328,108301,27,13420,8180,0.42,0.42,0,317
Australia,AUS,10/03/2021,125000,124972,28,16672,9142,0.48,0.48,0,355
Australia,AUS,11/03/2021,135109,135077,32,10109,9035,0.52,0.52,0,350
Australia,AUS,12/03/2021,159294,159260,34,24185,11765,0.62,0.62,0,456
Australia,AUS,13/03/2021,162551,162517,34,3257,11601,0.63,0.63,0,450
Australia,AUS,14/03/2021,164781,164746,35,2230,11202,0.64,0.64,0,434
Australia,AUS,15/03/2021,182437,182214,223,17656,12504,0.71,0.71,0,485
Australia,AUS,16/03/2021,203557,203032,525,21120,13604,0.79,0.79,0,528
Australia,AUS,17/03/2021,226057,224711,1346,22500,14437,0.88,0.87,0.01,560
Australia,AUS,18/03/2021,240754,238673,2081,14697,15092,0.93,0.93,0.01,585
Australia,AUS,19/03/2021,253831,251060,2771,13077,13505,0.98,0.97,0.01,524
Australia,AUS,20/03/2021,256782,253858,2924,2951,13462,1,0.98,0.01,522
Australia,AUS,21/03/2021,281960,262283,19677,25178,16740,1.09,1.02,0.08,649
Australia,AUS,22/03/2021,312502,289317,23185,30542,18581,1.21,1.12,0.09,721
Australia,AUS,23/03/2021,358502,334123,24379,46000,22135,1.39,1.3,0.09,858
Australia,AUS,24/03/2021,408410,379837,28573,49908,26050,1.58,1.47,0.11,1010
Australia,AUS,25/03/2021,460155,427294,32861,51745,31343,1.78,1.66,0.13,1215
Australia,AUS,26/03/2021,506465,471771,34694,46310,36091,1.96,1.83,0.13,1400
Australia,AUS,27/03/2021,524189,488220,35969,17724,38201,2.03,1.89,0.14,1481
Australia,AUS,28/03/2021,541761,505085,36676,17572,37114,2.1,1.96,0.14,1439
Australia,AUS,29/03/2021,597525,551335,46190,55764,40718,2.32,2.14,0.18,1579
Australia,AUS,30/03/2021,670351,620336,50015,72826,44550,2.6,2.41,0.19,1728
Australia,AUS,31/03/2021,744330,671606,72724,73979,47989,2.89,2.6,0.28,1861
Australia,AUS,1/04/2021,823613,744369,79244,79283,51923,3.19,2.89,0.31,2013
