Country,total_vaccinations,confirmed_cases,death_cases,iso_code,Continent,Population
Afghanistan,9822860,186393,7752,AFG,Asia,41128771
Africa,588182164,12271810,256129,,,
Albania,2940709,314561,3551,ALB,Europe,2842321
Algeria,,267777,6876,DZA,Africa,44903225
Andorra,154077,45793,154,AND,Europe,79824
Angola,21623361,102301,1912,AGO,Africa,35588987
Anguilla,24102,3620,10,AIA,North America,15857
Antigua and Barbuda,128267,8773,144,ATG,North America,93763
Argentina,108222546,9560307,129369,ARG,South America,45510318
Armenia,,426799,8635,ARM,Asia,2780469
Aruba,172764,42286,226,ABW,North America,106445
Asia,8441973077,166951613,1454429,,,
Australia,58251364,9554438,12111,AUS,Oceania,26177413
Austria,18904380,4807205,20390,AUT,Europe,8939617
Azerbaijan,13822079,799983,9752,AZE,Asia,10358074
Bahamas,355958,36745,822,BHS,North America,409984
Bahrain,3461910,661116,1511,BHR,Asia,1472233
Bangladesh,290671923,2006368,29298,BGD,Asia,171186372
Barbados,316999,92841,495,BRB,North America,281635
Belarus,13981294,994037,7118,BLR,Europe,9534954
Belgium,25750154,4425201,32263,BEL,Europe,11655930
Belize,496542,67309,680,BLZ,North America,405272
Benin,3681560,27316,163,BEN,Africa,13352864
Bermuda,132042,17356,148,BMU,North America,64184
Bhutan,1917605,60530,21,BTN,Asia,782455
Bolivia,14332894,1047198,22072,BOL,South America,12224110
Bonaire Sint Eustatius and Saba,,10897,37,,,
Bosnia and Herzegovina,,386474,15883,BIH,Europe,3233526
Botswana,2871301,325470,2770,BWA,Africa,2630296
Brazil,465620128,33924061,679275,BRA,South America,215313498
British Virgin Islands,41346,7131,63,VGB,North America,31305
Brunei,1259753,211132,225,BRN,Asia,449002
Bulgaria,4481873,1213429,37420,BGR,Europe,6781953
Burkina Faso,3134621,21128,387,BFA,Africa,22673762
Burundi,19346,46275,38,BDI,Africa,12889576
Cambodia,42893177,136908,3056,KHM,Asia,16767842
Cameroon,1854436,120215,1931,CMR,Africa,27914536
Canada,87748060,4102536,43000,CAN,North America,38454327
Cape Verde,839348,62184,410,CPV,Africa,593149
Cayman Islands,147628,29109,29,CYM,North America,68706
Central African Republic,1392969,14772,113,CAF,Africa,5579144
Chad,3873794,7437,193,TCD,Africa,17723315
Chile,61208204,4262916,59633,CHL,South America,19603733
China,3424838000,907270,5226,CHN,Asia,1425887337
Colombia,87079477,6265798,140845,COL,South America,51874024
Comoros,804403,8329,160,COM,Africa,836774
Congo,833210,24775,386,,,
Cook Islands,,6122,1,COK,Oceania,17011
Costa Rica,11585211,1044385,8740,CRI,North America,5180829
Cote d'Ivoire,17411265,85520,811,,,
Croatia,5265340,1189593,16350,HRV,Europe,4030358
Cuba,39483430,1108361,8529,CUB,North America,11212191
Curacao,254926,45127,282,CUW,North America,191163
Cyprus,1792456,562911,1115,CYP,Europe,1251488
Czech Republic,17778527,3994274,40531,CZE,Europe,10493986
Democratic Republic of Congo,4119787,92173,1390,,,
Denmark,13172055,3237406,6687,DNK,Europe,5882261
Djibouti,231653,15690,189,DJI,Africa,1120849
Dominica,67431,14852,68,DMA,North America,72737
Dominican Republic,15891754,631040,4383,DOM,North America,11228821
Ecuador,36843951,973870,35810,ECU,South America,18001000
Egypt,96161665,515645,24775,EGY,Africa,110990103
El Salvador,11127982,190818,4204,SLV,North America,6336392
England,126393690,16741,183,,,
Equatorial Guinea,488738,10087,103,GNQ,Africa,1674908
Estonia,2005691,591377,2628,ERI,Africa,3684032
Eswatini,746363,73290,1417,EST,Europe,1326062
Ethiopia,52509414,492375,7568,SWZ,Africa,1201670
Europe,1309574056,218481262,1906117,ETH,Africa,123379924
European Union,892890716,160401826,1121885,FLK,South America,3780
Faeroe Islands,,34658,28,FRO,Europe,53090
Falkland Islands,,1839,,FJI,Oceania,929766
Fiji,1519291,67673,873,FIN,Europe,5540745
Finland,12315719,1171034,5012,FRA,Europe,64626628
France,148757315,34021911,152439,GUF,South America,304557
French Polynesia,456943,75654,649,PYF,Oceania,306279
Gabon,569829,48511,306,GAB,Africa,2388992
Gambia,815861,12149,368,GMB,Africa,2705992
Georgia,2913546,1698020,16869,GEO,Asia,3744385
Germany,184075954,31119199,144552,DEU,Europe,83369843
Ghana,18396070,168127,1457,GHA,Africa,33475870
Gibraltar,,19938,105,GIB,Europe,32649
Greece,21263339,4474616,31377,GRC,Europe,10384971
Greenland,,11971,21,GRL,North America,56466
Grenada,89646,18786,234,GRD,North America,125438
Guatemala,18582031,1048193,19070,GTM,North America,17843908
Guernsey,157708,37408,445,GGY,Europe,63301
Guinea,6434120,8440,174,GIN,Africa,13859341
Guinea-Bissau,592514,69948,1271,GNB,Africa,2105566
Guyana,1017969,32516,838,GUY,South America,808726
Haiti,354635,352400063,2590689,HTI,North America,11584996
High income,2571540711,442319,10939,,,
Honduras,14837097,1366918,9524,HND,North America,10432860
Hong Kong,18115395,1987321,46886,HKG,Asia,7488865
Hungary,,202502,179,HUN,Europe,9967308
Iceland,,44087037,526530,ISL,Europe,372899
India,2052900354,6222788,157046,IND,Asia,1417173173
Indonesia,429156238,721,15,IDN,Asia,275501339
